bucket,resume_id,jd_hash,label,label_source,kw_raw,skill_raw,ngram_raw,edu_raw,seniority_raw,cosine_blended,whole_doc_cos_raw,exp_cos_raw,final_score,jd_excerpt,signal_diagnosis,failure_mode,notes
high_score_bad_label,dad72dba-ce3b-4b22-8353-828fdc39150e,d2fa341f65ed0219,bad,llm,0.1765,0.8,1.0,1.0,1.0,1.0,1.0,1.0,73,"Job Title: Product Designer  We are a well-funded, innovative edtech platform systematically transforming how university students seamlessly access study materials and collaborate in real-time online.",high_score_bad_label,,
high_score_bad_label,dad72dba-ce3b-4b22-8353-828fdc39150e,da0dde82ea9194c3,bad,llm,0.2,1.0,1.0,0.75,1.0,1.0,1.0,1.0,75,Job Title: Director of FP&A  We are a scaling global SaaS company providing mission-critical enterprise resource planning software directly to the advanced manufacturing industry. You will build and l,high_score_bad_label,,
high_score_bad_label,16cf5a23-4251-4a52-a11c-3503b9fa4120,d2fa341f65ed0219,bad,implicit,0.0882,0.8,1.0,1.0,1.0,1.0,1.0,1.0,70,"Job Title: Product Designer  We are a well-funded, innovative edtech platform systematically transforming how university students seamlessly access study materials and collaborate in real-time online.",high_score_bad_label,,
high_score_bad_label,16cf5a23-4251-4a52-a11c-3503b9fa4120,da0dde82ea9194c3,bad,implicit,0.2,1.0,1.0,0.75,1.0,1.0,1.0,1.0,75,Job Title: Director of FP&A  We are a scaling global SaaS company providing mission-critical enterprise resource planning software directly to the advanced manufacturing industry. You will build and l,high_score_bad_label,,
high_score_bad_label,8f01e655-adb2-44e6-9b4b-88168c6ed37e,fbb8d6874a197ee4,bad,llm,0.4167,0.3462,1.0,1.0,1.0,1.0,1.0,1.0,71,"Job Title: Junior Frontend Developer  We are a fast-growing e-commerce startup building the next generation of online retail experiences, focusing on personalized shopping journeys and seamless checko",high_score_bad_label,,
high_score_bad_label,408202a3-0490-490c-ace9-952a2db4b190,d2fa341f65ed0219,bad,llm,0.2059,0.8,1.0,1.0,1.0,1.0,1.0,1.0,74,"Job Title: Product Designer  We are a well-funded, innovative edtech platform systematically transforming how university students seamlessly access study materials and collaborate in real-time online.",high_score_bad_label,,
high_score_bad_label,2c30c488-e03d-4072-8e52-ce39f4e1042f,de36d7831ff2fb1c,bad,implicit,0.75,0.6579,0.75,1.0,1.0,0.7132,0.6954,0.7309,77,"Backend Software Engineer (Python)Location: Hyderabad, India (Hybrid)Experience Level: Mid-Level (2-3 Years)About the RoleWe are looking for a versatile Backend Software Engineer to help build and sca",high_score_bad_label,,
low_score_good_label,73d86d9f-2470-457e-b204-63649e0cc91f,325092716aaab940,good,implicit,0.1538,0.5,1.0,1.0,1.0,0.1496,0.2042,0.0951,40,"Senior Financial Analyst & Corporate Accountant Location: Hyderabad, India (In-Office)  Experience Level: 5+ Years  About the Role We are seeking an experienced Senior Financial Analyst & Corporate Ac",low_score_good_label,,
low_score_good_label,73d86d9f-2470-457e-b204-63649e0cc91f,325092716aaab940,good,implicit,0.1538,0.5,1.0,1.0,1.0,0.1496,0.2042,0.0951,40,"Senior Financial Analyst & Corporate Accountant Location: Hyderabad, India (In-Office)  Experience Level: 5+ Years  About the Role We are seeking an experienced Senior Financial Analyst & Corporate Ac",low_score_good_label,,
low_score_good_label,73d86d9f-2470-457e-b204-63649e0cc91f,325092716aaab940,good,implicit,0.1538,0.5,1.0,1.0,1.0,0.1496,0.2042,0.0951,40,"Senior Financial Analyst & Corporate Accountant Location: Hyderabad, India (In-Office)  Experience Level: 5+ Years  About the Role We are seeking an experienced Senior Financial Analyst & Corporate Ac",low_score_good_label,,
